,Lat,Lon,Cls,species_present,Alt
5457,29.66404914855957,-82.33301544189453,Cfa,41301,41.0
5460,25.78993797302246,-80.31974792480469,Am,41301,11.0
5470,29.66388511657715,-82.34967041015625,Cfa,41301,34.0
5473,29.66230773925781,-82.3371353149414,Cfa,41301,38.0
5496,29.02351951599121,-81.06371307373047,Cfa,41301,12.0
5511,29.67940139770508,-82.39280700683594,Cfa,41301,38.0
5514,25.77368927001953,-80.35066223144531,Am,41301,8.0
5521,29.66206359863281,-82.3314437866211,Cfa,41301,39.0
5522,29.64381980895996,-82.36275482177734,Cfa,41301,25.0
5531,29.66399955749512,-82.33499908447266,Cfa,41301,40.0
5532,30.26645851135254,-81.50614929199219,Cfa,41301,13.0
5541,30.773361206054688,-85.22793579101562,Cfa,41301,52.0
5547,27.538732528686523,-80.38973999023438,Cfa,41301,15.0
5557,29.64405059814453,-82.36270141601562,Cfa,41301,25.0
5561,29.66172981262207,-82.4941635131836,Cfa,41301,28.0
5563,29.664867401123047,-82.33556365966797,Cfa,41301,40.0
5564,29.663818359375,-82.33308410644531,Cfa,41301,41.0
5578,28.42872428894043,-81.48001861572266,Cfa,41301,35.0
5589,30.81976318359375,-85.24253845214844,Cfa,41301,43.0
5596,29.643705368041992,-82.36274719238281,Cfa,41301,24.0
5599,29.768104553222656,-82.31713104248047,Cfa,41301,44.0
5610,29.745773315429688,-82.33162689208984,Cfa,41301,50.0
5613,26.40287208557129,-81.80690002441406,Aw,41301,8.0
5616,25.729772567749023,-80.3229751586914,Am,41301,10.0
5620,29.643779754638672,-82.36297607421875,Cfa,41301,25.0
24757,29.621097564697266,-82.32373046875,Cfa,4793,21.0
24816,27.561607360839844,-80.32746887207031,Cfa,4793,3.0
24895,26.14468002319336,-80.63753509521484,Am,4793,7.0
24943,27.772829055786133,-82.31515502929688,Cfa,4793,30.0
24951,26.174509048461918,-80.89608001708984,Am,4793,9.0
25002,26.175901412963867,-80.89485168457031,Am,4793,9.0
25044,24.959423065185547,-80.5704116821289,Aw,4793,8.0
25120,30.59432411193848,-87.0122299194336,Cfa,4793,5.0
25193,29.05096244812012,-82.0700912475586,Cfa,4793,52.0
25199,25.896751403808597,-81.32426452636719,Aw,4793,4.0
25207,29.61530303955078,-82.31440734863281,Cfa,4793,20.0
25314,26.635875701904297,-81.69218444824219,Cfa,4793,11.0
25327,25.667552947998047,-80.3502197265625,Am,4793,13.0
25386,30.128955841064453,-84.1462173461914,Cfa,4793,3.0
25393,30.52212142944336,-84.32283020019531,Cfa,4793,27.0
25480,26.456043243408203,-80.67976379394531,Am,4793,7.0
25577,25.832904815673828,-80.4376449584961,Am,4793,4.0
25609,29.61515617370605,-82.31441497802734,Cfa,4793,20.0
25648,27.23841667175293,-82.31427764892578,Cfa,4793,6.0
25696,25.140117645263672,-80.93750762939453,Aw,4793,2.0
25739,28.06191062927246,-82.0273666381836,Cfa,4793,34.0
25828,28.604644775390625,-81.19241333007812,Cfa,4793,23.0
25866,30.33370018005371,-87.14110565185547,Cfa,4793,6.0
25907,29.61737823486328,-82.32212829589844,Cfa,4793,19.0
26168,29.09828186035156,-82.408203125,Cfa,4793,14.0
26207,26.427967071533203,-82.0821304321289,Aw,4793,0.0
26262,26.529483795166016,-81.87667083740234,Cfa,4793,20.0
26281,26.498687744140625,-80.22201538085938,Am,4793,9.0
26318,24.96141624450684,-80.56781005859375,Aw,4793,7.0
26335,28.674779891967773,-80.76317596435547,Cfa,4793,3.0
26352,25.388660430908203,-80.63356018066406,Aw,4793,8.0
26524,27.839244842529297,-82.36498260498047,Cfa,4793,7.0
26587,25.6638240814209,-80.7619400024414,Aw,4793,5.0
26612,25.73094367980957,-80.32189178466797,Am,4793,6.0
26704,25.431814193725582,-80.50784301757812,Aw,4793,7.0
26726,25.89726448059082,-80.28658294677734,Am,4793,7.0
30500,27.1168212890625,-82.45146179199219,Cfa,13632,2.0
30519,29.654516220092773,-82.2808609008789,Cfa,13632,31.0
30557,28.65055656433105,-81.3035659790039,Cfa,13632,28.0
30590,29.8815860748291,-81.3141098022461,Cfa,13632,9.0
30659,29.69137954711914,-82.3984146118164,Cfa,13632,42.0
30660,30.2293701171875,-81.53840637207031,Cfa,13632,11.0
30690,28.460939407348636,-81.21097564697266,Cfa,13632,27.0
30760,27.471532821655277,-82.56842803955078,Cfa,13632,10.0
30771,27.900775909423828,-81.5213623046875,Cfa,13632,36.0
30790,28.49847412109375,-80.99762725830078,Cfa,13632,22.0
30792,30.28347587585449,-81.44998168945312,Cfa,13632,8.0
30799,28.29120445251465,-82.43052673339844,Cfa,13632,23.0
30812,28.645801544189453,-81.30816650390625,Cfa,13632,26.0
30825,28.073963165283203,-82.37555694580078,Cfa,13632,18.0
30852,28.58401107788086,-81.36075592041016,Cfa,13632,36.0
30881,30.17615509033203,-81.61796569824219,Cfa,13632,11.0
30900,28.08292579650879,-82.42172241210938,Cfa,13632,26.0
30936,30.313600540161133,-81.46818542480469,Cfa,13632,9.0
30962,25.761564254760746,-80.91563415527344,Aw,13632,6.0
30964,28.051239013671875,-82.31946563720703,Cfa,13632,23.0
30973,30.17137718200684,-81.58421325683594,Cfa,13632,13.0
30979,29.04194641113281,-82.569580078125,Cfa,13632,16.0
31076,28.335268020629883,-81.53431701660156,Cfa,13632,35.0
31086,28.11946678161621,-82.30558013916016,Cfa,13632,21.0
31090,28.0996036529541,-82.46000671386719,Cfa,13632,24.0
31186,30.644832611083984,-81.5544204711914,Cfa,13632,10.0
31212,28.49250030517578,-81.35990142822266,Cfa,13632,43.0
31220,27.24551010131836,-82.31525421142578,Cfa,13632,7.0
31259,29.92880630493164,-81.32527160644531,Cfa,13632,10.0
31298,28.52121925354004,-81.09532165527344,Cfa,13632,21.0
31311,28.32020378112793,-81.44021606445312,Cfa,13632,27.0
31336,26.950815200805664,-82.35089111328125,Cfa,13632,7.0
31359,26.98488044738769,-82.13325500488281,Cfa,13632,10.0
31434,28.799999237060547,-82.38999938964844,Cfa,13632,37.0
31451,28.073871612548828,-82.37537384033203,Cfa,13632,18.0
31455,26.570541381835938,-81.8265609741211,Cfa,13632,10.0
31471,27.987659454345703,-81.94957733154297,Cfa,13632,69.0
31477,30.105030059814453,-81.69798278808594,Cfa,13632,11.0
31485,28.0742301940918,-82.37393951416016,Cfa,13632,21.0
31581,25.790189743041992,-80.85596466064453,Aw,13632,6.0
31635,27.202253341674805,-82.24979400634766,Cfa,13632,11.0
31636,27.354177474975582,-82.5493392944336,Cfa,13632,9.0
31642,27.858312606811523,-81.37462615966797,Cfa,13632,23.0
31664,29.661865234375,-82.40140533447266,Cfa,13632,27.0
31683,30.557737350463867,-83.86691284179688,Cfa,13632,69.0
31731,27.88459014892578,-82.80882263183594,Cfa,13632,19.0
31741,29.63518714904785,-82.3675765991211,Cfa,13632,24.0
31817,29.08164405822754,-81.065185546875,Cfa,13632,14.0
31819,26.570541381835938,-81.8265609741211,Cfa,13632,10.0
31852,28.602441787719727,-81.16998291015625,Cfa,13632,21.0
31882,27.88436317443848,-81.57809448242188,Cfa,13632,55.0
31884,25.795869827270508,-80.85559844970703,Aw,13632,5.0
31885,28.615890502929688,-81.21080780029297,Cfa,13632,20.0
31894,28.52063751220703,-81.09524536132812,Cfa,13632,23.0
31917,27.745729446411133,-81.626708984375,Cfa,13632,46.0
31932,28.58493995666504,-81.35791015625,Cfa,13632,35.0
31977,30.152162551879883,-81.7597885131836,Cfa,13632,14.0
31979,28.781700134277344,-82.55323791503906,Cfa,13632,11.0
32005,28.60210227966309,-81.1701431274414,Cfa,13632,21.0
32006,29.14102554321289,-81.00640106201172,Cfa,13632,11.0
32009,28.095739364624023,-82.71012115478516,Cfa,13632,12.0
32018,29.691160202026367,-82.39759063720703,Cfa,13632,42.0
32024,28.18149185180664,-82.32891082763672,Cfa,13632,23.0
32052,28.61365509033203,-81.16786193847656,Cfa,13632,21.0
32095,26.57041931152344,-81.82626342773438,Cfa,13632,10.0
32171,29.619802474975582,-82.32837677001953,Cfa,13632,21.0
32197,27.834779739379883,-82.37059783935547,Cfa,13632,11.0
32206,28.6408748626709,-81.30337524414062,Cfa,13632,19.0
32211,28.17820167541504,-82.408203125,Cfa,13632,23.0
32238,28.14363670349121,-82.23526763916016,Cfa,13632,31.0
32252,30.625200271606445,-81.60816955566406,Cfa,13632,14.0
32255,28.639442443847656,-81.29813385009766,Cfa,13632,30.0
32284,28.52168273925781,-81.0953369140625,Cfa,13632,21.0
32311,28.67778205871582,-81.24483489990234,Cfa,13632,15.0
32317,27.319154739379883,-82.5037612915039,Cfa,13632,10.0
32378,30.36822891235352,-87.14061737060547,Cfa,13632,9.0
32399,30.93519401550293,-81.70568084716797,Cfa,13632,12.0
32427,26.37301254272461,-81.61077117919922,Aw,13632,12.0
32445,28.672666549682617,-81.26811218261719,Cfa,13632,21.0
32461,28.07399177551269,-82.37543487548828,Cfa,13632,18.0
32462,29.042016983032227,-82.56953430175781,Cfa,13632,16.0
39746,25.65165901184082,-80.28589630126953,Am,19765,13.0
39750,28.069169998168945,-80.62850952148438,Cfa,19765,8.0
39763,27.10006332397461,-82.44648742675781,Cfa,19765,8.0
39811,25.605213165283203,-80.31714630126953,Am,19765,9.0
39816,25.692842483520508,-80.36970520019531,Am,19765,9.0
39818,26.40426254272461,-82.03978729248047,Aw,19765,0.0
39826,26.344884872436523,-80.12672424316406,Am,19765,10.0
39830,26.305362701416016,-80.21282196044922,Am,19765,11.0
39831,27.89263916015625,-82.84527587890625,Cfa,19765,4.0
39857,26.49998664855957,-80.21210479736328,Am,19765,17.0
39892,25.738862991333008,-80.30928039550781,Am,19765,13.0
39915,27.38434791564941,-82.5558853149414,Cfa,19765,11.0
39920,25.276180267333984,-80.30207061767578,Aw,19765,12.0
39942,28.088842391967773,-80.56584930419922,Cfa,19765,6.0
39943,25.619945526123047,-80.25408935546875,Am,19765,0.0
39952,26.487215042114254,-80.160400390625,Am,19765,10.0
39985,26.379491806030277,-80.22608947753906,Am,19765,9.0
39997,26.354337692260746,-80.13189697265625,Am,19765,10.0
40002,30.026945114135746,-82.86203002929688,Cfa,19765,22.0
40020,26.880565643310547,-82.30553436279297,Cfa,19765,5.0
40043,25.67116355895996,-80.3157730102539,Am,19765,10.0
40055,26.45192527770996,-82.02580261230469,Aw,19765,7.0
40067,28.94452667236328,-82.49261474609375,Cfa,19765,34.0
40082,28.33992958068848,-81.30802154541016,Cfa,19765,31.0
40085,27.814208984375,-82.63272857666016,Cfa,19765,4.0
40093,28.84352684020996,-81.94609069824219,Cfa,19765,23.0
40128,29.667991638183597,-82.24695587158203,Cfa,19765,23.0
40140,25.692726135253903,-80.37004089355469,Am,19765,9.0
40170,25.721736907958984,-80.3243637084961,Am,19765,9.0
40182,25.39448356628418,-80.63458251953125,Aw,19765,9.0
40183,27.969432830810547,-82.47119140625,Cfa,19765,16.0
40186,25.282819747924805,-80.30268096923828,Aw,19765,6.0
40188,28.035295486450195,-82.3892593383789,Cfa,19765,26.0
40192,25.69234085083008,-80.37003326416016,Am,19765,9.0
40209,27.7211856842041,-82.66900634765625,Cfa,19765,8.0
40216,28.02845764160156,-80.58940887451172,Cfa,19765,4.0
40221,28.617509841918945,-82.56610870361328,Cfa,19765,15.0
40246,28.452638626098636,-80.72584533691406,Cfa,19765,0.0
40265,25.692487716674805,-80.3553466796875,Am,19765,8.0
40269,25.77375030517578,-80.30917358398438,Am,19765,9.0
40288,25.596820831298828,-80.43750762939453,Am,19765,12.0
40290,26.76751136779785,-82.05802154541016,Cfa,19765,2.0
40293,26.381771087646484,-80.06880187988281,Am,19765,10.0
40296,27.793840408325195,-82.70101165771484,Cfa,19765,21.0
40357,26.71250915527344,-81.66526794433594,Cfa,19765,11.0
40380,27.070777893066406,-80.13359069824219,Cfa,19765,10.0
40381,30.68829917907715,-85.98204803466797,Cfa,19765,77.0
40392,25.650636672973636,-80.25869750976562,Am,19765,0.0
40400,29.556808471679688,-82.19734191894531,Cfa,19765,44.0
40404,25.191743850708008,-80.35646057128906,Aw,19765,10.0
40412,26.334753036499023,-80.11383819580078,Am,19765,8.0
40436,25.745607376098636,-80.39945983886719,Am,19765,8.0
40476,27.30333709716797,-82.55854034423828,Cfa,19765,1.0
40497,25.28435516357422,-80.30372619628906,Aw,19765,4.0
40508,28.54173851013184,-81.5245361328125,Cfa,19765,49.0
40513,28.007570266723636,-82.79218292236328,Cfa,19765,0.0
40515,26.98029518127441,-82.21833038330078,Cfa,19765,5.0
40530,26.48953056335449,-80.161376953125,Am,19765,11.0
40551,27.752490997314453,-82.70945739746094,Cfa,19765,11.0
40559,25.65007781982422,-80.35446166992188,Am,19765,10.0
40579,26.44074249267578,-82.07392883300781,Aw,19765,5.0
40580,25.691709518432617,-80.36727142333984,Am,19765,10.0
40599,25.529964447021484,-80.49797058105469,Am,19765,9.0
40614,26.613941192626957,-81.59214782714844,Cfa,19765,17.0
40617,30.371931076049805,-86.2757797241211,Cfa,19765,9.0
40622,29.5650577545166,-82.60462951660156,Cfa,19765,29.0
40628,26.662208557128903,-80.39772033691406,Af,19765,7.0
40649,27.607267379760746,-80.3389892578125,Cfa,19765,8.0
40670,27.253904342651367,-80.23390197753906,Cfa,19765,23.0
40677,27.19753074645996,-82.48467254638672,Cfa,19765,9.0
40694,25.41847038269043,-80.6502914428711,Aw,19765,7.0
40698,30.02459526062012,-82.86126708984375,Cfa,19765,22.0
40708,28.011192321777344,-82.59371948242188,Cfa,19765,7.0
40714,27.81940078735352,-81.69218444824219,Cfa,19765,41.0
40725,25.458030700683597,-80.505126953125,Aw,19765,6.0
40735,30.10050773620605,-82.80967712402344,Cfa,19765,34.0
40745,28.52964210510254,-81.3558349609375,Cfa,19765,38.0
40755,26.905170440673828,-80.25506591796875,Af,19765,12.0
40757,25.702083587646484,-80.35446166992188,Am,19765,10.0
40776,25.693988800048828,-80.37310791015625,Am,19765,9.0
40777,25.276159286499023,-80.30300903320312,Aw,19765,9.0
40802,25.654869079589844,-80.32511138916016,Am,19765,9.0
40803,26.436710357666016,-82.125,Aw,19765,4.0
40805,26.489255905151367,-80.15953063964844,Am,19765,9.0
40822,25.57567024230957,-80.33988189697266,Am,19765,8.0
40831,25.245590209960938,-80.31922149658203,Aw,19765,13.0
40845,25.71213722229004,-80.26625061035156,Am,19765,11.0
40912,27.43853759765625,-82.68376922607422,Cfa,19765,6.0
40927,27.642728805541992,-81.39286041259766,Cfa,19765,24.0
40951,28.498624801635746,-81.4914779663086,Cfa,19765,53.0
40971,27.808025360107425,-82.69192504882812,Cfa,19765,15.0
40985,26.06214714050293,-80.28213500976562,Am,19765,8.0
41006,29.41273498535156,-82.56196594238281,Cfa,19765,31.0
41032,26.1821346282959,-80.1259536743164,Am,19765,7.0
41048,27.692407608032227,-80.37042236328125,Cfa,19765,9.0
41054,28.01301002502441,-82.46977996826172,Cfa,19765,14.0
41057,25.914236068725582,-80.31747436523438,Am,19765,10.0
41076,25.675695419311523,-80.38328552246094,Am,19765,9.0
41078,26.79684257507324,-80.27177429199219,Af,19765,15.0
41080,28.161890029907227,-80.6589584350586,Cfa,19765,13.0
41088,25.88046646118164,-80.12547302246094,Am,19765,8.0
41091,28.850496292114254,-82.38612365722656,Cfa,19765,23.0
41103,26.44983673095703,-82.01840209960938,Aw,19765,0.0
41126,27.90506935119629,-82.67552185058594,Cfa,19765,12.0
41143,25.73845100402832,-80.28665161132812,Am,19765,12.0
41176,28.5526123046875,-81.36943817138672,Cfa,19765,38.0
41199,25.585620880126957,-80.33946228027344,Am,19765,1.0
41206,25.870895385742188,-80.1897964477539,Am,19765,10.0
41218,25.678865432739254,-80.27320098876953,Am,19765,12.0
41229,25.67847442626953,-80.27287292480469,Am,19765,7.0
41241,25.21475982666016,-80.84722900390625,Aw,19765,8.0
41245,25.73410415649414,-80.2270736694336,Am,19765,8.0
41253,27.710573196411133,-82.63443756103516,Cfa,19765,6.0
41260,25.17815399169922,-80.36805725097656,Aw,19765,14.0
41265,26.464344024658203,-82.11373901367188,Aw,19765,5.0
